service_id,date,exception_type
DOM_FEST,20260101,1
HABIL,20260101,2
DOM_FEST,20260112,1
HABIL,20260112,2
DOM_FEST,20260323,1
HABIL,20260323,2
DOM_FEST,20260402,1
HABIL,20260402,2
DOM_FEST,20260403,1
HABIL,20260403,2
DOM_FEST,20260501,1
HABIL,20260501,2
DOM_FEST,20260518,1
HABIL,20260518,2
DOM_FEST,20260608,1
HABIL,20260608,2
DOM_FEST,20260615,1
HABIL,20260615,2
DOM_FEST,20260629,1
HABIL,20260629,2
DOM_FEST,20260713,1
HABIL,20260713,2
DOM_FEST,20260720,1
HABIL,20260720,2
DOM_FEST,20260807,1
HABIL,20260807,2
DOM_FEST,20260817,1
HABIL,20260817,2
DOM_FEST,20261012,1
HABIL,20261012,2
DOM_FEST,20261102,1
HABIL,20261102,2
DOM_FEST,20261116,1
HABIL,20261116,2
DOM_FEST,20261208,1
HABIL,20261208,2
DOM_FEST,20261225,1
HABIL,20261225,2
