service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A01A,1,1,1,1,1,1,0,20260101,20261231
A01B,1,1,1,1,1,1,0,20260101,20261231
A02,1,1,1,1,1,1,1,20260101,20261231
A03,1,1,1,1,1,1,1,20260101,20261231
A04,1,1,1,1,1,1,1,20260101,20261231
A05,1,1,1,1,1,1,0,20260101,20261231
A06,1,1,1,1,1,1,1,20260101,20261231
A11,1,1,1,1,1,1,0,20260101,20261231
A11B,1,1,1,1,1,1,0,20260101,20261231
A12A,1,1,1,1,1,1,1,20260101,20261231
A12B,1,1,1,1,1,1,1,20260101,20261231
A12C,1,1,1,1,1,1,1,20260101,20261231
A12D,1,1,1,1,1,1,1,20260101,20261231
A12E,1,1,1,1,1,1,0,20260101,20261231
A13A,1,1,1,1,1,1,1,20260101,20261231
A13A,0,0,0,0,0,0,1,20260101,20261231
A13C,1,1,1,1,1,1,1,20260101,20261231
A13D,1,1,1,1,1,1,1,20260101,20261231
A14A,1,1,1,1,1,1,0,20260101,20261231
A14B,0,0,0,0,0,1,1,20260101,20261231
A17A,1,1,1,1,1,1,0,20260101,20261231
A17B,1,1,1,1,1,1,1,20260101,20261231
A17C,0,0,0,0,0,1,1,20260101,20261231
A17D,1,1,1,1,1,1,1,20260101,20261231
A17E,1,1,1,1,1,1,1,20260101,20261231
A17F,1,1,1,1,1,1,1,20260101,20261231
A18,0,0,0,0,0,1,1,20260101,20261231
A18,1,1,1,1,1,1,0,20260101,20261231
A18,1,1,1,1,1,1,1,20260101,20261231
A18B,1,1,1,1,1,0,0,20260101,20261231
A19A,1,1,1,1,1,1,1,20260101,20261231
A19B,1,1,1,1,1,1,1,20260101,20261231
A21,1,1,1,1,1,1,1,20260101,20261231
A22,1,1,1,1,1,1,1,20260101,20261231
A23,1,1,1,1,1,1,1,20260101,20261231
A24,1,1,1,1,1,1,0,20260101,20261231
A32,1,1,1,1,1,1,1,20260101,20261231
A32,0,0,0,0,0,0,1,20260101,20261231
A33,1,1,1,1,1,1,1,20260101,20261231
A35A,1,1,1,1,1,1,1,20260101,20261231
A35A,0,0,0,0,0,0,1,20260101,20261231
A36,1,1,1,1,1,1,1,20260101,20261231
A37A,1,1,1,1,1,1,1,20260101,20261231
A37B,1,1,1,1,1,1,1,20260101,20261231
A37B,0,0,0,0,0,0,1,20260101,20261231
A41A,1,1,1,1,1,1,1,20260101,20261231
A42B,1,1,1,1,1,1,1,20260101,20261231
A42B,0,0,0,0,0,0,1,20260101,20261231
A44A,1,1,1,1,1,1,1,20260101,20261231
A44A,0,0,0,0,0,0,1,20260101,20261231
A44B,1,1,1,1,1,1,1,20260101,20261231
A46,1,1,1,1,1,1,1,20260101,20261231
A47,1,1,1,1,1,1,1,20260101,20261231
A47,0,0,0,0,0,0,1,20260101,20261231
A52,1,1,1,1,1,1,1,20260101,20261231
A54,1,1,1,1,1,1,1,20260101,20261231
A55,1,1,1,1,1,1,1,20260101,20261231
A57,1,1,1,1,1,1,1,20260101,20261231
A61,1,1,1,1,1,1,1,20260101,20261231
A62,1,1,1,1,1,1,1,20260101,20261231
A62,0,0,0,0,0,0,1,20260101,20261231
A63,1,1,1,1,1,1,1,20260101,20261231
A64,1,1,1,1,1,1,1,20260101,20261231
A65,1,1,1,1,1,1,1,20260101,20261231
A70,1,1,1,1,1,1,1,20260101,20261231
A71,1,1,1,1,1,1,1,20260101,20261231
A72A,1,1,1,1,1,1,1,20260101,20261231
A72B,1,1,1,1,1,0,0,20260101,20261231
A73,1,1,1,1,1,1,1,20260101,20261231
A75,1,1,1,1,1,1,1,20260101,20261231
A76,1,1,1,1,1,1,0,20260101,20261231
A78A,1,1,1,1,1,0,0,20260101,20261231
A81,1,1,1,1,1,1,1,20260101,20261231
A83,1,1,1,1,1,1,1,20260101,20261231
C302,1,1,1,1,1,1,0,20260101,20261231
C320,1,1,1,1,1,1,0,20260101,20261231
C417,1,1,1,1,1,0,0,20260101,20261231
C471,1,1,1,1,1,0,0,20260101,20261231
C502,1,1,1,1,1,0,0,20260101,20261231
C520,1,1,1,1,1,0,0,20260101,20261231
E21,1,1,1,1,1,1,1,20260101,20261231
E27,1,1,1,1,1,1,0,20260101,20261231
P14A,1,1,1,1,1,1,1,20260101,20261231
P21A,1,1,1,1,1,1,1,20260101,20261231
P21B,1,1,1,1,1,1,1,20260101,20261231
P21C,1,1,1,1,1,1,1,20260101,20261231
P21E,1,1,1,1,1,1,1,20260101,20261231
P24B,1,1,1,1,1,1,1,20260101,20261231
P27D,1,1,1,1,1,1,1,20260101,20261231
P27D,0,0,0,0,0,0,1,20260101,20261231
P30B,1,1,1,1,1,1,1,20260101,20261231
P40A,1,1,1,1,1,1,1,20260101,20261231
P40B,1,1,1,1,1,1,1,20260101,20261231
P42,1,1,1,1,1,1,1,20260101,20261231
P47A,1,1,1,1,1,1,1,20260101,20261231
P47A,0,0,0,0,0,0,1,20260101,20261231
P47B,1,1,1,1,1,1,1,20260101,20261231
P51A,1,1,1,1,1,1,0,20260101,20261231
P51A,0,0,0,0,0,0,1,20260101,20261231
P51B,1,1,1,1,1,1,1,20260101,20261231
P51C,1,1,1,1,1,1,1,20260101,20261231
P52A,1,1,1,1,1,1,1,20260101,20261231
P52D,1,1,1,1,1,1,1,20260101,20261231
