objectid,calendarid,gserviceid,exceptiondate,gexceptiontype
1,1,8099041,1763942400000,1
2,1,8099041,1764028800000,1
3,1,8099041,1764115200000,1
4,1,8099041,1764201600000,1
5,1,8099041,1764288000000,1
6,2,8099042,1764374400000,1
7,3,8099043,1764460800000,1
8,1,8099041,1764547200000,1
9,1,8099041,1764633600000,1
10,1,8099041,1764720000000,1
11,1,8099041,1764806400000,1
12,1,8099041,1764892800000,1
13,2,8099042,1764979200000,1
14,3,8099043,1765065600000,1
15,4,8099148,1765152000000,1
16,1,8099041,1765238400000,1
17,1,8099041,1765324800000,1
18,1,8099041,1765411200000,1
19,1,8099041,1765497600000,1
20,2,8099042,1765584000000,1
21,3,8099043,1765670400000,1
22,1,8099041,1765756800000,1
23,1,8099041,1765843200000,1
24,1,8099041,1765929600000,1
25,1,8099041,1766016000000,1
26,1,8099041,1766102400000,1
27,2,8099042,1766188800000,1
28,3,8099043,1766275200000,1
29,1,8099041,1766361600000,1
30,1,8099041,1766448000000,1
31,1,8099041,1766534400000,1
32,4,8099148,1766620800000,1
33,1,8099041,1766707200000,1
34,2,8099042,1766793600000,1
35,3,8099043,1766880000000,1
36,1,8099041,1766966400000,1
37,1,8099041,1767052800000,1
38,1,8099041,1767139200000,1
