objectid,id,grouteid,groutetype
1,1,112,3
2,2,115,3
3,3,131,3
4,4,140,3
5,5,147,3
6,6,150,3
7,7,152,3
8,8,157,3
9,9,162,3
10,10,2141,3
11,11,2211,3
12,12,2213,3
13,13,2215,3
14,14,2242,3
15,15,2274,3
16,16,2301,3
17,17,232,3
18,18,2401,3
19,19,2402,3
20,20,242,3
21,21,2471,3
22,22,2472,3
23,23,2513,3
24,24,2524,3
25,25,2602,3
26,26,2621,3
27,27,2624,3
28,28,275,3
29,29,282,3
30,30,3011,3
31,31,3012,3
32,32,302,3
33,33,303,3
34,34,304,3
35,35,305,3
36,36,306,3
37,37,311,3
38,38,3112,3
39,39,3121,3
40,40,3122,3
41,41,3123,3
42,42,3124,3
43,43,3131,3
44,44,3133,3
45,45,3134,3
46,46,3141,3
47,47,3142,3
48,48,3172,3
49,49,3173,3
50,50,3174,3
51,51,3175,3
52,52,3176,3
53,53,318,3
54,54,3191,3
55,55,3192,3
56,56,321,3
57,57,322,3
58,58,323,3
59,59,332,3
60,60,333,3
61,61,3351,3
62,62,336,3
63,63,3371,3
64,64,3372,3
65,65,3411,3
66,66,3422,3
67,67,3441,3
68,68,3442,3
69,69,346,3
70,70,347,3
71,71,352,3
72,72,354,3
73,73,355,3
74,74,356,3
75,75,357,3
76,76,361,3
77,77,362,3
78,78,363,3
79,79,364,3
80,80,370,3
81,81,371,3
82,82,3721,3
83,83,3722,3
84,84,373,3
85,85,375,3
86,86,3781,3
87,87,381,3
88,88,382,3
89,89,383,3
90,90,421,3
91,91,427,3
92,92,437,3
93,93,451,3
94,94,MIOCABLE,6
