route_id,route_short_name,route_desc,route_type
A01A,A01A,ESTACIÓN SAN BOSCO - CAM - CENTRO,3
A01B,A01B,CENTRO - SAN NICÓLAS - PRIMITIVO CRESPO,3
A02,A02,CENTRO - ZOOLÓGICO - ATENAS,3
A03,A03,SANTA LIBRADA - CLUB NOEL - EL NACIONAL,3
A04,A04,CONEXIÓN MANZANA DEL SABER - BELLAVISTA,3
A05,A05,ESTACIÓN LAS AMÉRICAS - CAM - LA PORTADA - CENTENARIO,3
A06,A06,CENTRO - AGUACATAL - LA PORTADA,3
A11,A11,UNIVERSIDADES - UNIVERSIDAD JAVERIANA - ICESI,3
A11B,A11B,UNIVERSIDADES - UNIVERSIDAD LIBRE,3
A12A,A12A,ESTACIÓN MELÉNDEZ - NÁPOLES - ALTOS DE LA LUISA,3
A12B,A12B,ESTACIÓN MELÉNDEZ - POLVORINES - LAS PALMAS,3
A12C,A12C,ESTACIÓN MELÉNDEZ - MELÉNDEZ - HORIZONTES,3
A12D,A12D,ESTACIÓN MELÉNDEZ - ALTOS DE SANTA ELENA,3
A12E,A12E,ESTACIÓN MELÉNDEZ - ALTOS DE MADRIGAL - MELÉNDEZ,3
A13A,A13A,UNIVERSIDADES - LILI - CANEY - EL INGENIO - ESTACIÓN CAPRI,3
A13C,A13C,UNIVERSIDADES - CIUDAD MELÉNDEZ,3
A13D,A13D,UNIVERSIDADES - LILI - CIUDAD MELÉNDEZ,3
A14A,A14A,UNIVERSIDADES - UNIVERSIDAD SAN BUENAVENTURA,3
A14B,A14B,UNIVERSIDADES - UNIVERSIDAD SAN BUENAVENTURA - LA VORÁGINE,3
A14B,A14B,UNIVERSIDADES - UNIVERSIDAD SAN BUENAVENTURA,3
A17A,A17A,UNIVERSIDADES - BOCHALEMA - UNIVERSIDAD AUTÓNOMA DE OCCIDENTE,3
A17B,A17B,UNIVERSIDADES - EL HORMIGUERO - CASCAJAL,3
A17C,A17C,UNIVERSIDADES - COMFENALCO LILI - CLUB CAÑASGORDAS,3
A17D,A17D,UNIVERSIDADES - CIUDAD PACÍFICA,3
A17E,A17E,UNIVERSIDADES - BOCHALEMA,3
A17F,A17F,UNIVERSIDADES - CACHIPAY - EL GUAYABAL,3
A18,A18,UNIVERSIDADES - COMFANDI PANCE - HACIENDA EL CASTILLO,3
A18,A18,UNIVERSIDADES - HACIENDA EL CASTILLO,3
A18B,A18B,UNIVERSIDADES - ZONAMERICA,3
A19A,A19A,UNIVERSIDADES - CAÑASGORDAS - COMFANDI PANCE,3
A19B,A19B,ESTACIÓN BUITRERA - LA BUITRERA,3
A21,A21,TERMINAL MENGA - CIUDADELA FLORALIA,3
A22,A22,TERMINAL MENGA - BRISAS DE LOS ÁLAMOS,3
A23,A23,TERMINAL MENGA - CIUDAD DE LOS ÁLAMOS,3
A24,A24,TERMINAL MENGA - LA FLORA - EL BOSQUE,3
A32,A32,ESTACIÓN FLORA INDUSTRIAL - CHIMINANGOS,3
A33,A33,TERMINAL PASO DEL COMERCIO - CIUDADELA FLORALIA,3
A35A,A35A,TERMINAL PASO DEL COMERCIO - CALIMIO NORTE - JORGE ELIÉCER GAITÁN,3
A36,A36,ESTACIÓN CHIMINANGOS - CHIMINANGOS - LOS GUAYACANES,3
A37A,A37A,ESTACIÓN SALOMIA - SENA - VILLA DEL PRADO - OUTLET UNICO,3
A37B,A37B,ESTACIÓN FLORA INDUSTRIAL - TORRES DE COMFANDI - SENA SALOMIA - OUTLET UNICO,3
A37B,A37B,ESTACIÓN FLORA INDUSTRIAL - VILLA DEL PRADO - SENA SALOMIA - OUTLET UNICO,3
A41A,A41A,TERMINAL ANDRÉS SANÍN - DESEPAZ - POTRERO GRANDE - TERMINAL AGUABLANCA,3
A42B,A42B,TERMINAL ANDRÉS SANÍN - MARROQUÍN - TERMINAL AGUABLANCA,3
A44A,A44A,TERMINAL ANDRÉS SANÍN - VALLE GRANDE - MANUELA BELTRÁN - TERMINAL AGUABLANCA,3
A44B,A44B,TERMINAL ANDRÉS SANÍN - PUERTAS DEL SOL - MANUELA BELTRÁN - TERMINAL AGUABLANCA,3
A46,A46,TERMINAL ANDRÉS SANÍN - VILLA DEL LAGO - SENA EL PONDAJE - TERMINAL CALIPSO,3
A47,A47,TERMINAL ANDRÉS SANÍN - CIUDADELA DEL RÍO - TERMINAL AGUABLANCA,1
A47,A47,TERMINAL ANDRÉS SANÍN - CIUDADELA DEL RÍO - DESEPAZ - TERMINAL AGUABLANCA,1
A52,A52,TERMINAL AGUABLANCA - HOSPITAL ISAIAS DUARTE CANCINO,3
A54,A54,TERMINAL AGUABLANCA - ALFONSO BONILLA ARAGÓN - AV. CIUDAD DE CALI - TERMINAL ANDRÉS SANÍN,3
A55,A55,TERMINAL AGUABLANCA - POTRERO GRANDE - PÍZAMOS,3
