objectid,id,scheduleid,startrun,gtripid,calendarid,gwheelchairaccessible,gbikesallowed
1,1,1,703.6,112-106-109-8099041,1,,
2,2,2,768.5,112-106-124-8099041,1,,
3,3,3,835.2,112-106-135-8099041,1,,
4,4,4,901.1,112-106-150-8099041,1,,
5,5,5,972.1,112-106-163-8099041,1,,
6,6,6,1043.75,112-106-186-8099041,1,,
7,7,7,1115.6,112-106-205-8099041,1,,
8,8,8,1191.4,112-106-228-8099041,1,,
9,9,9,1258.4,112-106-235-8099041,1,,
10,10,10,1319.25,112-106-244-8099041,1,,
11,11,11,360.9,112-106-30-8099041,1,,
12,12,12,429.9,112-106-49-8099041,1,,
13,13,13,495.9,112-106-70-8099041,1,,
14,14,14,569.0,112-106-83-8099041,1,,
15,15,15,297.2,112-106-9-8099041,1,,
16,16,16,635.9,112-106-98-8099041,1,,
17,17,17,298.23333333333335,112-139-10-8099041,1,,
18,18,18,358.4,112-139-27-8099041,1,,
19,19,19,425.9,112-139-50-8099041,1,,
20,20,20,964.85,112-156-161-8099041,1,,
21,21,21,1037.15,112-156-184-8099041,1,,
22,22,22,1109.0,112-156-203-8099041,1,,
23,23,23,1183.65,112-156-226-8099041,1,,
24,24,24,707.3,112-185-112-8099041,1,,
25,25,25,300.0,112-185-12-8099041,1,,
26,26,26,774.0,112-185-123-8099041,1,,
27,27,27,839.9,112-185-138-8099041,1,,
28,28,28,906.6,112-185-149-8099041,1,,
29,29,29,973.85,112-185-166-8099041,1,,
30,30,30,1048.6,112-185-185-8099041,1,,
31,31,31,1123.95,112-185-210-8099041,1,,
32,32,32,364.9,112-185-29-8099041,1,,
33,33,33,432.4,112-185-52-8099041,1,,
34,34,34,502.4,112-185-69-8099041,1,,
35,35,35,572.7,112-185-86-8099041,1,,
36,36,36,641.4,112-185-97-8099041,1,,
37,37,37,915.1666666666666,112-19-100-8099043,3,,
38,38,38,915.1666666666666,112-19-100-8099148,4,,
39,39,39,385.5,112-19-11-8099043,3,,
40,40,40,385.5,112-19-11-8099148,4,,
41,41,41,974.75,112-19-111-8099043,3,,
42,42,42,974.75,112-19-111-8099148,4,,
43,43,43,1032.5,112-19-120-8099043,3,,
44,44,44,1032.5,112-19-120-8099148,4,,
45,45,45,1093.75,112-19-131-8099043,3,,
46,46,46,1093.75,112-19-131-8099148,4,,
47,47,47,1150.75,112-19-140-8099043,3,,
48,48,48,1150.75,112-19-140-8099148,4,,
49,49,49,1218.25,112-19-151-8099043,3,,
50,50,50,1218.25,112-19-151-8099148,4,,
51,51,51,1272.25,112-19-160-8099043,3,,
52,52,52,1272.25,112-19-160-8099148,4,,
53,53,53,355.25,112-19-2-8099043,3,,
54,54,54,355.25,112-19-2-8099148,4,,
55,55,55,441.0,112-19-20-8099043,3,,
56,56,56,441.0,112-19-20-8099148,4,,
57,57,57,509.25,112-19-31-8099043,3,,
58,58,58,509.25,112-19-31-8099148,4,,
59,59,59,566.4166666666666,112-19-40-8099043,3,,
60,60,60,566.4166666666666,112-19-40-8099148,4,,
61,61,61,624.25,112-19-51-8099043,3,,
62,62,62,624.25,112-19-51-8099148,4,,
63,63,63,680.75,112-19-60-8099043,3,,
64,64,64,680.75,112-19-60-8099148,4,,
65,65,65,739.75,112-19-71-8099043,3,,
66,66,66,739.75,112-19-71-8099148,4,,
67,67,67,797.75,112-19-80-8099043,3,,
68,68,68,797.75,112-19-80-8099148,4,,
69,69,69,857.25,112-19-91-8099043,3,,
70,70,70,857.25,112-19-91-8099148,4,,
71,71,71,916.0,112-222-101-8099043,3,,
72,72,72,916.0,112-222-101-8099148,4,,
73,73,73,974.0,112-222-110-8099043,3,,
74,74,74,974.0,112-222-110-8099148,4,,
75,75,75,385.5,112-222-12-8099043,3,,
76,76,76,385.5,112-222-12-8099148,4,,
77,77,77,1033.75,112-222-121-8099043,3,,
78,78,78,1033.75,112-222-121-8099148,4,,
79,79,79,1092.25,112-222-130-8099043,3,,
80,80,80,1092.25,112-222-130-8099148,4,,
81,81,81,1155.2,112-222-141-8099043,3,,
82,82,82,1155.2,112-222-141-8099148,4,,
83,83,83,1212.25,112-222-150-8099043,3,,
84,84,84,1212.25,112-222-150-8099148,4,,
85,85,85,449.25,112-222-21-8099043,3,,
86,86,86,449.25,112-222-21-8099148,4,,
87,87,87,357.56666666666666,112-222-3-8099043,3,,
88,88,88,357.56666666666666,112-222-3-8099148,4,,
89,89,89,505.5833333333333,112-222-30-8099043,3,,
90,90,90,505.5833333333333,112-222-30-8099148,4,,
91,91,91,566.75,112-222-41-8099043,3,,
92,92,92,566.75,112-222-41-8099148,4,,
93,93,93,623.25,112-222-50-8099043,3,,
94,94,94,623.25,112-222-50-8099148,4,,
95,95,95,681.75,112-222-61-8099043,3,,
96,96,96,681.75,112-222-61-8099148,4,,
97,97,97,739.5,112-222-70-8099043,3,,
98,98,98,739.5,112-222-70-8099148,4,,
99,99,99,798.5,112-222-81-8099043,3,,
100,100,100,798.5,112-222-81-8099148,4,,
101,101,101,856.5,112-222-90-8099043,3,,
102,102,102,856.5,112-222-90-8099148,4,,
103,103,103,927.75,112-233-103-8099043,3,,
104,104,104,927.75,112-233-103-8099148,4,,
105,105,105,985.75,112-233-112-8099043,3,,
106,106,106,985.75,112-233-112-8099148,4,,
107,107,107,1045.75,112-233-123-8099043,3,,
108,108,108,1045.75,112-233-123-8099148,4,,
109,109,109,1104.25,112-233-132-8099043,3,,
110,110,110,1104.25,112-233-132-8099148,4,,
111,111,111,399.75,112-233-14-8099043,3,,
112,112,112,399.75,112-233-14-8099148,4,,
113,113,113,1167.0,112-233-143-8099043,3,,
114,114,114,1167.0,112-233-143-8099148,4,,
115,115,115,1223.3333333333333,112-233-152-8099043,3,,
116,116,116,1223.3333333333333,112-233-152-8099148,4,,
117,117,117,1281.6666666666667,112-233-161-8099043,3,,
118,118,118,1281.6666666666667,112-233-161-8099148,4,,
119,119,119,462.0,112-233-23-8099043,3,,
120,120,120,462.0,112-233-23-8099148,4,,
121,121,121,518.75,112-233-32-8099043,3,,
122,122,122,518.75,112-233-32-8099148,4,,
123,123,123,578.25,112-233-43-8099043,3,,
124,124,124,578.25,112-233-43-8099148,4,,
125,125,125,363.81666666666666,112-233-5-8099043,3,,
126,126,126,363.81666666666666,112-233-5-8099148,4,,
127,127,127,634.75,112-233-52-8099043,3,,
128,128,128,634.75,112-233-52-8099148,4,,
129,129,129,693.25,112-233-63-8099043,3,,
130,130,130,693.25,112-233-63-8099148,4,,
131,131,131,751.25,112-233-72-8099043,3,,
132,132,132,751.25,112-233-72-8099148,4,,
133,133,133,810.4666666666667,112-233-83-8099043,3,,
134,134,134,810.4666666666667,112-233-83-8099148,4,,
135,135,135,868.1666666666666,112-233-92-8099043,3,,
136,136,136,868.1666666666666,112-233-92-8099148,4,,
137,137,137,676.7,112-276-106-8099041,1,,
138,138,138,743.4,112-276-117-8099041,1,,
139,139,139,809.3,112-276-132-8099041,1,,
140,140,140,876.0,112-276-143-8099041,1,,
141,141,141,941.4,112-276-158-8099041,1,,
142,142,142,1009.35,112-276-173-8099041,1,,
143,143,143,1083.35,112-276-198-8099041,1,,
144,144,144,338.0,112-276-21-8099041,1,,
145,145,145,303.3833333333333,112-276-4-8099041,1,,
146,146,146,406.4,112-276-44-8099041,1,,
147,147,147,475.4,112-276-63-8099041,1,,
148,148,148,542.1,112-276-80-8099041,1,,
149,149,149,610.8,112-276-91-8099041,1,,
150,150,150,949.7,112-308-106-8099043,3,,
151,151,151,949.7,112-308-106-8099148,4,,
152,152,152,1010.0,112-308-117-8099043,3,,
153,153,153,1010.0,112-308-117-8099148,4,,
154,154,154,1068.5,112-308-126-8099043,3,,
155,155,155,1068.5,112-308-126-8099148,4,,
156,156,156,1130.0,112-308-137-8099043,3,,
157,157,157,1130.0,112-308-137-8099148,4,,
158,158,158,1187.2166666666667,112-308-146-8099043,3,,
159,159,159,1187.2166666666667,112-308-146-8099148,4,,
160,160,160,1255.5,112-308-157-8099043,3,,
161,161,161,1255.5,112-308-157-8099148,4,,
162,162,162,1308.5,112-308-166-8099043,3,,
163,163,163,1308.5,112-308-166-8099148,4,,
164,164,164,423.75,112-308-17-8099043,3,,
165,165,165,423.75,112-308-17-8099148,4,,
166,166,166,479.5833333333333,112-308-26-8099043,3,,
167,167,167,479.5833333333333,112-308-26-8099148,4,,
168,168,168,543.75,112-308-37-8099043,3,,
169,169,169,543.75,112-308-37-8099148,4,,
170,170,170,600.25,112-308-46-8099043,3,,
171,171,171,600.25,112-308-46-8099148,4,,
172,172,172,658.75,112-308-57-8099043,3,,
173,173,173,658.75,112-308-57-8099148,4,,
174,174,174,715.25,112-308-66-8099043,3,,
175,175,175,715.25,112-308-66-8099148,4,,
176,176,176,775.0,112-308-77-8099043,3,,
177,177,177,775.0,112-308-77-8099148,4,,
178,178,178,360.0,112-308-8-8099043,3,,
179,179,179,360.0,112-308-8-8099148,4,,
180,180,180,833.0,112-308-86-8099043,3,,
181,181,181,833.0,112-308-86-8099148,4,,
182,182,182,892.5,112-308-97-8099043,3,,
183,183,183,892.5,112-308-97-8099148,4,,
184,184,184,926.8,112-310-102-8099043,3,,
185,185,185,926.8,112-310-102-8099148,4,,
186,186,186,986.5,112-310-113-8099043,3,,
187,187,187,986.5,112-310-113-8099148,4,,
188,188,188,1044.5,112-310-122-8099043,3,,
189,189,189,1044.5,112-310-122-8099148,4,,
190,190,190,398.25,112-310-13-8099043,3,,
191,191,191,398.25,112-310-13-8099148,4,,
192,192,192,1105.75,112-310-133-8099043,3,,
193,193,193,1105.75,112-310-133-8099148,4,,
194,194,194,1163.0,112-310-142-8099043,3,,
195,195,195,1163.0,112-310-142-8099148,4,,
196,196,196,1231.0,112-310-153-8099043,3,,
197,197,197,1231.0,112-310-153-8099148,4,,
198,198,198,1285.0,112-310-162-8099043,3,,
199,199,199,1285.0,112-310-162-8099148,4,,
200,200,200,453.75,112-310-22-8099043,3,,
201,201,201,453.75,112-310-22-8099148,4,,
202,202,202,520.75,112-310-33-8099043,3,,
203,203,203,520.75,112-310-33-8099148,4,,
204,204,204,358.98333333333335,112-310-4-8099043,3,,
205,205,205,358.98333333333335,112-310-4-8099148,4,,
206,206,206,577.25,112-310-42-8099043,3,,
207,207,207,577.25,112-310-42-8099148,4,,
208,208,208,635.75,112-310-53-8099043,3,,
