stop_id,stop_lat,stop_lon,stop_desc
519182,3.4584507969,-76.5497608288,Av 15 Oe entre Cl 7 Oe y 8 Oe
519183,3.4601813993,-76.5517154457,Av 15 Oe con Cl 9 Oe_1
519184,3.4602392663,-76.5531566599,Av 15 Oe entre Cl 9 Oe y 10 Oe
519185,3.4596388762,-76.555492851,Av 15 Oe entre Cl 10 Oe y 11 Oe
519186,3.4618913312,-76.5590018897,Cl 11 Oe con Av 15 Oe_1
519187,3.4614158047,-76.5597977372,Av 15 Oe con Cl 11A Oe_1
519188,3.4594748187,-76.5613368131,Cl 15 Oe_M1
519189,3.4574739067,-76.5631959951,Cl 15 Oe_SM1
519190,3.4558561229,-76.5648713438,Av 9 Oe entre Cl 22A Oe y 23 Oe
519191,3.4560503116,-76.5660683675,Av 9 Oe entre Cl 23 Oe y 23C Oe
519192,3.4559702429,-76.5661909489,Av 9 Oe entre Cl 23C Oe y 23 Oe
519193,3.455655057,-76.5644483351,Av 9 Oe entre Cl 23 Oe y 22A Oe
519194,3.4575746851,-76.5631027766,Cl 15 Oe_SM2
519195,3.4595216361,-76.5611530034,Cl 15 Oe_M2
519196,3.4608491711,-76.559921303,Av 15 Oe con Cl 11A Oe_2
519197,3.4616083965,-76.5590179848,Cl 11 Oe con Av 15 Oe_2
519198,3.4595966504,-76.5553918277,Av 15 Oe entre Cl 12 Oe y 10 Oe
519199,3.4601351135,-76.5531969352,Av 15 Oe entre Cl 10 Oe y 9 Oe
519200,3.4597604161,-76.5512552697,Av 15 Oe con Cl 9 Oe_2
519201,3.4583142937,-76.5497517996,Av 15 Oe entre Cl 8 Oe y 7 Oe
519202,3.4552111045,-76.5481132857,Av 15 con Av 4 Oe
519204,3.460934231,-76.5573110958,Cl 11 Oe entre Av 15 Oe y Cl 11A Oe
519207,3.4611038059,-76.5578529764,Cl 11 Oe entre Cl 11A Oe y Av 15 Oe
519039,3.4542364661,-76.5491069768,Av 4 Oe entre Cl 6 Oe y Av 5 Oe
519077,3.4510867011,-76.5508777851,Kr 2 entre Cl 11 Oe y 10 Oe
519078,3.4518680994,-76.5488196803,Kr 2 entre Cl 9 Oe y 7 Oe
519099,3.4470211712,-76.5469883185,Kr 4 con 7 Oe
513002,3.451865312,-76.5420826005,Av 4 Oe con Av 4A Oe
519038,3.4540187683,-76.5461716391,Av 4 Oe entre Cl 4 Oe y Av 4A Oe
519161,3.4515437686,-76.5443679989,Av 4N entre Cl 3 Oe y 4 Oe
519181,3.4557127007,-76.5483608872,Av 15 Oe con Cl 5D Oe
519041,3.4530983831,-76.5492637585,Cl 7 Oe con Av 1 Oe
519040,3.452096316,-76.5506194595,Kr 1 entre Cl 9 Oe y 10 Oe
519043,3.4506126983,-76.5449722572,Kr 1 con Cl 5 Oe
519074,3.450825619,-76.5532383334,Kr 1 entre Cl 11 Oe y 12 Oe
519076,3.449758713,-76.5536442544,Kr 2 entre Cl 13 Oe y 12 Oe
519127,3.4479123853,-76.5564954704,Kr 1 entre Kr 2B y 2A
519162,3.4535758253,-76.5480188362,Kr 1 entre Cl 7 Oe y Kr 1A
519289,3.4513764132,-76.5462039961,Kr 1 entre Kr 1C y Cl 5 Oe
500850,3.4486459101,-76.530170469,CENTRO A1
500851,3.4481517532,-76.5300321291,CENTRO A2
519120,3.4474880178,-76.530302698,Kr 10 con Cl 13
500600,3.4569793135,-76.5302133671,TORRE DE CALI A1
500601,3.4566670003,-76.5303094402,TORRE DE CALI B1
500602,3.4566081743,-76.5304847441,TORRE DE CALI A2
500603,3.4570390039,-76.5300363814,TORRE DE CALI B2
519089,3.4441832132,-76.5453950786,Kr 14 entre Cl 6 Oe y 5 Oe
519090,3.4434468076,-76.5424581475,Kr 14 entre Cl 3 Oe y 2 Oe
519071,3.4497301659,-76.5378052025,Kr 4 entre Cl 5 y 4
519072,3.4497500747,-76.5414009877,Kr 3 entre Cl 1 Oe y 2 Oe
519073,3.4507972997,-76.5420847648,Kr 2 entre Cl 2 Oe y 3 Oe
519079,3.4504069718,-76.5399404293,Kr 1 con Cl 2A
519112,3.4511869341,-76.5421205332,Kr 1 entre Kr 2 y Cl 2 Oe
500500,3.4604543539,-76.5252714242,RÍO CALI A1
500650,3.4600952205,-76.5224593305,PILOTO B1
500700,3.4585528398,-76.5256923631,SAN NICOLÁS B1
515001,3.4512610392,-76.535422291,Cl 8 entre Kr 3 y 4
519070,3.4510643264,-76.5350667635,Kr 4 entre Cl 9 y 8
519176,3.4487491594,-76.5346408321,Cl 8 entre Kr 6 y 8
519266,3.4479005252,-76.5367503358,Cl 5 entre Kr 9 y 6
501602,3.4394709863,-76.5373404035,SANTA LIBRADA A2
519081,3.442642986,-76.5367519386,Cl 5 con Kr 16
519082,3.4404761273,-76.5371797779,Cl 5 entre Kr 19 y 22
519083,3.4391158554,-76.5382178226,Kr 23 entre Cl 5 y 3A
519117,3.4395145528,-76.5376072929,Cl 5 entre Kr 22 y 23
519087,3.4428742667,-76.547925287,Kr 24C entre Cl 6 Oe y 10 Oe
519097,3.4431036343,-76.5483366756,Cl 10 Oe entre Kr 24C y Cl 9 Oe
519294,3.4436380048,-76.5479328463,Cl 9 Oe entre Kr 22A y 18
519069,3.4487651567,-76.5372962118,Cl 5 entre Kr 5 y 6
519088,3.4443815606,-76.5479338384,Kr 14 entre Cl 9 Oe y 8 Oe
519098,3.4454925571,-76.5468572687,Kr 5 con Cl 10 Oe
519135,3.4475042537,-76.5369812589,Cl 5 entre Kr 6 y 9
519092,3.4437790987,-76.5385509588,Kr 14 entre Cl 3 y 4
519111,3.4443532686,-76.5412029347,Cl 1 entre Kr 13A y 13
519136,3.444266978,-76.5367587154,Cl 5 entre Kr 13 y 14
519160,3.4434761628,-76.540290492,Kr 14 entre Cl 2 y 2A
501000,3.442342186,-76.5323938436,SAN BOSCO A1
501001,3.4422266666,-76.532647017,SAN BOSCO B1
501002,3.4422090614,-76.5328351973,SAN BOSCO A2
501003,3.4423495436,-76.5322325172,SAN BOSCO B2
501600,3.4400454869,-76.5368645694,SANTA LIBRADA A1
501601,3.4395974831,-76.537181807,SANTA LIBRADA B1
501603,3.4401583291,-76.5367199111,SANTA LIBRADA B2
518001,3.4425962433,-76.534307428,Cl 8 entre Kr 14 y 14A
519138,3.4442788656,-76.5365368411,Cl 5 entre Kr 14 y 13
519270,3.4415895621,-76.5363108671,Cl 5 entre Kr 15 y Cl 6
519288,3.4411048732,-76.5353102702,Kr 15 entre Cl 7 y 5
519013,3.4586510889,-76.5208415413,Cl 25 entre Kr 3 y 4
519034,3.4552135089,-76.5242097082,Kr 5 entre Cl 21 y 22
519035,3.4566743281,-76.5207898436,Kr 5 entre Cl 24 y 25
519045,3.4527944519,-76.5196259194,Kr 8 entre Cl 25 y 24
519047,3.4503045558,-76.527897682,Kr 8 entre Cl 16 y 15
519048,3.4530605815,-76.5289145486,Kr 5 entre Cl 15 y 16
519049,3.4544493022,-76.5257665249,Kr 5 entre Cl 19 y 20
519054,3.4514100598,-76.5245187339,Kr 8 entre Cl 20 y 19
519174,3.4529446114,-76.5236422039,Cl 21 entre Kr 7 y 7A
519175,3.4554116602,-76.5246911097,Cl 21 entre Kr 4 y 5
500950,3.4440743771,-76.5289611224,FRAY DAMIÁN A1
500951,3.4436041991,-76.5288439263,FRAY DAMIÁN A2
501402,3.4427252547,-76.527485219,SAN PASCUAL A2
500750,3.4536782789,-76.5316498348,LA ERMITA A1
500751,3.4532224118,-76.5315411483,LA ERMITA A2
500800,3.4524281839,-76.5313132352,PLAZA DE CAYCEDO A1
501550,3.4540305476,-76.5298732055,SAN PEDRO B1
501551,3.4544225889,-76.5300587964,SAN PEDRO B2
501552,3.4548384863,-76.5302566663,SAN PEDRO B3
519055,3.45352063,-76.530175,Kr 4 entre Cl 15 y 14
519057,3.4523256298,-76.5327160001,Kr 4 entre Cl 12 y 11
517002,3.446251551,-76.534101629,Cl 8 entre Kr 10 y 12
519080,3.4465816218,-76.5345872473,Kr 10 entre Cl 7 y 8
519119,3.446939464,-76.5322351447,Kr 10 entre Cl 10 y 11
519030,3.4348122942,-76.5347085924,Cl 9 entre Kr 23D y 23C
519173,3.4386646285,-76.5376740003,Cl 5 con Kr 23
516017,3.4351491919,-76.5231934334,Dg 23 entre Cl 18 y 17
516047,3.4356805323,-76.5212123082,Kr 23 entre Cl 19B y 19A
501350,3.4441648472,-76.5207755907,BELALCÁZAR A1
519141,3.4496804724,-76.5205631748,Kr 10 entre Cl 22A y 23
501351,3.4441372295,-76.520605024,BELALCÁZAR B1
502950,3.4398154192,-76.5227443943,CIEN PALOS B1
502951,3.4399715968,-76.5228450607,CIEN PALOS A1
519031,3.4388749305,-76.5334755461,Cl 9 entre Kr 19 y 17
519059,3.438979289,-76.5315309102,Cl 10 entre Kr 19 y 20
519062,3.4365396972,-76.5312451351,Cl 10 entre Kr 22 y 23
501401,3.4426334324,-76.5277913287,SAN PASCUAL B1
501403,3.442607668,-76.5273390639,SAN PASCUAL B2
501405,3.4425811683,-76.5268896487,SAN PASCUAL B3
519025,3.4382735247,-76.5284590979,Cl 13 entre Kr 20 y 21
519026,3.4384074634,-76.5281750499,Cl 13 entre Kr 21 y 20
516043,3.4325040146,-76.5271406896,Dg 23 entre Cl 13B y 13
516270,3.4334169495,-76.5258363712,Dg 23 entre Cl 15 y Kr 23D
519021,3.4330583548,-76.5281598544,Cl 13 entre Kr 23D y 24
519022,3.4328850964,-76.5278613336,Cl 13 entre Dg 23 y Kr 23D
519142,3.4354568159,-76.5283170902,Cl 13 entre Kr 23 y 23A
519290,3.4356015895,-76.528038342,Cl 13 entre Kr 23A y 23
519292,3.4358641215,-76.5297667343,Kr 23 entre Cl 11A y 12
